accession	MGE
NC005880	phage
NC005882	phage
NC005884	phage
NC005885	phage
NC005886	phage
NC005887	phage
NC005891	phage
NC005893	phage
NC005948	phage
NC005964	phage
NC006294	phage
NC006356	phage
NC006548	phage
NC006552	phage
NC006557	phage
NC006565	phage
NC006820	phage
NC006882	phage
NC006883	phage
NC006884	phage
NC006936	phage
NC006938	phage
NC006940	phage
NC006945	phage
NC006949	phage
NC006953	phage
NC007019	phage
NC007021	phage
NC007022	phage
NC007023	phage
NC007024	phage
NC007045	phage
NC007046	phage
NC007047	phage
NC007048	phage
NC007049	phage
NC007050	phage
NC007051	phage
NC007052	phage
NC007053	phage
NC007054	phage
NC007055	phage
NC007056	phage
NC007057	phage
NC007058	phage
NC007059	phage
NC007060	phage
NC007061	phage
NC007062	phage
NC007063	phage
NC007064	phage
NC007065	phage
NC007066	phage
NC007145	phage
NC007149	phage
NC007189	phage
NC007291	phage
NC007451	phage
NC007456	phage
NC007458	phage
NC007461	phage
NC007497	phage
NC007501	phage
NC007581	phage
NC007603	phage
NC007610	phage
NC007623	phage
NC007637	phage
NC007709	phage
NC007710	phage
NC007734	phage
NC007804	phage
NC007805	phage
NC007806	phage
NC007807	phage
NC007808	phage
NC007809	phage
NC007810	phage
NC007814	phage
NC007817	phage
NC007821	phage
NC007856	phage
NC007902	phage
NC007917	phage
NC007924	phage
NC007967	phage
NC008152	phage
NC008193	phage
NC008194	phage
NC008195	phage
NC008196	phage
NC008197	phage
NC008198	phage
NC008199	phage
NC008200	phage
NC008201	phage
NC008202	phage
NC008203	phage
NC008204	phage
NC008205	phage
NC008206	phage
NC008207	phage
NC008208	phage
NC008265	phage
NC008294	phage
NC008296	phage
NC008363	phage
NC008364	phage
NC008367	phage
NC008370	phage
NC008371	phage
NC008376	phage
NC008464	phage
NC008515	phage
NC008562	phage
NC008574	phage
NC008575	phage
NC008583	phage
NC008584	phage
NC008617	phage
NC008689	phage
NC008694	phage
NC008717	phage
NC008720	phage
NC008721	phage
NC008722	phage
NC008723	phage
NC008798	phage
NC008799	phage
NC009014	phage
NC009015	phage
NC009016	phage
NC009018	phage
NC009231	phage
NC009232	phage
NC009234	phage
NC009235	phage
NC009236	phage
NC009237	phage
NC009382	phage
NC009447	phage
NC009514	phage
NC009526	phage
NC009531	phage
NC009540	phage
NC009541	phage
NC009542	phage
NC009543	phage
NC009551	phage
NC009552	phage
NC009554	phage
NC009603	phage
NC009604	phage
NC009643	phage
NC009737	phage
NC009760	phage
NC009761	phage
NC009762	phage
NC009763	phage
NC009799	phage
NC009803	phage
NC009804	phage
NC009810	phage
NC009811	phage
NC009812	phage
NC009813	phage
NC009814	phage
NC009815	phage
NC009816	phage
NC009817	phage
NC009818	phage
NC009819	phage
NC009820	phage
NC009821	phage
NC009875	phage
NC009877	phage
NC009878	phage
NC009904	phage
NC009935	phage
NC009936	phage
NC009987	phage
NC009990	phage
NC009993	phage
NC010105	phage
NC010106	phage
NC010116	phage
NC010147	phage
NC010179	phage
NC010237	phage
NC010324	phage
NC010325	phage
NC010326	phage
NC010342	phage
NC010353	phage
NC010355	phage
NC010363	phage
NC010429	phage
NC010495	phage
NC010576	phage
NC010583	phage
NC010807	phage
NC010808	phage
NC010811	phage
NC010821	phage
NC010945	phage
NC011019	phage
NC011020	phage
NC011021	phage
NC011022	phage
NC011023	phage
NC011038	phage
NC011039	phage
NC011040	phage
NC011041	phage
NC011042	phage
NC011043	phage
NC011044	phage
NC011045	phage
NC011046	phage
NC011048	phage
NC011054	phage
NC011055	phage
NC011056	phage
NC011057	phage
NC011085	phage
NC011103	phage
NC011104	phage
NC011107	phage
NC011142	phage
NC011165	phage
NC011166	phage
NC011167	phage
NC011201	phage
NC011216	phage
NC011222	phage
NC011267	phage
NC011269	phage
NC011270	phage
NC011271	phage
NC011272	phage
NC011273	phage
NC011285	phage
NC011287	phage
NC011288	phage
NC011289	phage
NC011290	phage
NC011291	phage
NC011292	phage
NC011308	phage
NC011318	phage
NC011344	phage
NC011356	phage
NC011357	phage
NC011373	phage
NC011398	phage
NC011399	phage
NC011421	phage
NC011523	phage
NC011534	phage
NC011551	phage
NC011589	phage
NC011611	phage
NC011612	phage
NC011613	phage
NC011614	phage
NC011645	phage
NC011703	phage
NC011756	phage
NC011801	phage
NC011802	phage
NC011810	phage
NC011811	phage
NC011976	phage
NC012027	phage
NC012223	phage
NC012418	phage
NC012419	phage
NC012530	phage
NC012635	phage
NC012638	phage
NC012662	phage
NC012663	phage
NC012696	phage
NC012697	phage
NC012740	phage
NC012741	phage
NC012742	phage
NC012743	phage
NC012749	phage
NC012753	phage
NC012756	phage
NC012757	phage
NC012784	phage
NC012788	phage
NC012868	phage
NC012884	phage
NC013021	phage
NC013055	phage
NC013059	phage
NC013085	phage
NC013152	phage
NC013153	phage
NC013154	phage
NC013155	phage
NC013195	phage
NC013197	phage
NC013594	phage
NC013597	phage
NC013598	phage
NC013599	phage
NC013600	phage
NC013638	phage
NC013643	phage
NC013644	phage
NC013645	phage
NC013646	phage
NC013647	phage
NC013648	phage
NC013649	phage
NC013650	phage
NC013651	phage
NC013691	phage
NC013692	phage
NC013693	phage
NC013694	phage
NC013696	phage
NC013697	phage
NC013698	phage
NC013936	phage
NC014036	phage
NC014229	phage
NC014260	phage
NC014457	phage
NC014458	phage
NC014459	phage
NC014460	phage
NC014461	phage
NC014467	phage
NC014595	phage
NC014635	phage
NC014636	phage
NC014660	phage
NC014661	phage
NC014662	phage
NC014663	phage
NC014792	phage
NC014900	phage
NC014901	phage
NC015157	phage
NC015158	phage
NC015159	phage
NC015208	phage
NC015209	phage
NC015210	phage
NC015249	phage
NC015250	phage
NC015251	phage
NC015252	phage
NC015253	phage
NC015254	phage
NC015262	phage
NC015263	phage
NC015264	phage
NC015265	phage
NC015266	phage
NC015269	phage
NC015270	phage
NC015271	phage
NC015272	phage
NC015273	phage
NC015274	phage
NC015279	phage
NC015280	phage
NC015281	phage
NC015282	phage
NC015283	phage
NC015284	phage
NC015285	phage
NC015286	phage
NC015287	phage
NC015288	phage
NC015289	phage
NC015290	phage
NC015292	phage
NC015293	phage
NC015294	phage
NC015295	phage
NC015296	phage
NC015297	phage
NC015453	phage
NC015454	phage
NC015456	phage
NC015457	phage
NC015463	phage
NC015464	phage
NC015465	phage
NC015466	phage
NC015568	phage
NC015569	phage
NC015584	phage
NC015585	phage
NC015586	phage
NC015719	phage
NC015720	phage
NC015721	phage
NC015785	phage
NC015933	phage
NC015937	phage
NC015938	phage
NC016071	phage
NC016073	phage
NC016158	phage
NC016160	phage
NC016161	phage
NC016162	phage
NC016163	phage
NC016164	phage
NC016165	phage
NC016166	phage
NC016434	phage
NC016435	phage
NC016562	phage
NC016563	phage
NC016564	phage
NC016565	phage
NC016566	phage
NC016567	phage
NC016568	phage
NC016569	phage
NC016570	phage
NC016571	phage
NC016650	phage
NC016651	phage
NC016652	phage
NC016653	phage
NC016654	phage
NC016655	phage
NC016656	phage
NC016657	phage
NC016658	phage
NC016659	phage
NC016761	phage
NC016762	phage
NC016763	phage
NC016764	phage
NC016765	phage
NC016766	phage
NC016767	phage
NC016770	phage
NC017674	phage
NC017688	phage
NC017732	phage
NC017864	phage
NC017865	phage
NC017968	phage
NC017969	phage
NC017971	phage
NC017972	phage
NC017973	phage
NC017974	phage
NC017975	phage
NC017976	phage
NC017978	phage
NC017980	phage
NC017981	phage
NC017983	phage
NC017984	phage
NC017985	phage
NC018083	phage
NC018084	phage
NC018085	phage
NC018086	phage
NC018087	phage
NC018088	phage
NC018264	phage
NC018269	phage
NC018270	phage
NC018271	phage
NC018272	phage
NC018273	phage
NC018274	phage
NC018275	phage
NC018276	phage
NC018277	phage
NC018278	phage
NC018279	phage
NC018280	phage
NC018281	phage
NC018282	phage
NC018283	phage
NC018284	phage
NC018285	phage
NC018452	phage
NC018454	phage
NC018831	phage
NC018832	phage
NC018834	phage
NC018835	phage
NC018836	phage
NC018837	phage
NC018838	phage
NC018839	phage
NC018840	phage
NC018841	phage
NC018842	phage
NC018843	phage
NC018845	phage
NC018846	phage
NC018847	phage
NC018848	phage
NC018849	phage
NC018850	phage
NC018851	phage
NC018852	phage
NC018853	phage
NC018854	phage
NC018855	phage
NC018856	phage
NC018857	phage
NC018859	phage
NC018860	phage
NC018861	phage
NC018863	phage
NC019398	phage
NC019399	phage
NC019400	phage
NC019401	phage
NC019402	phage
NC019403	phage
NC019404	phage
NC019405	phage
NC019406	phage
NC019407	phage
NC019408	phage
NC019410	phage
NC019411	phage
NC019414	phage
NC019416	phage
NC019417	phage
NC019418	phage
NC019419	phage
NC019420	phage
NC019421	phage
NC019422	phage
NC019423	phage
NC019442	phage
NC019443	phage
NC019444	phage
NC019445	phage
NC019446	phage
NC019447	phage
NC019448	phage
NC019449	phage
NC019450	phage
NC019451	phage
NC019452	phage
NC019453	phage
NC019454	phage
NC019455	phage
NC019456	phage
NC019457	phage
NC019485	phage
NC019486	phage
NC019487	phage
NC019488	phage
NC019489	phage
NC019490	phage
NC019496	phage
NC019500	phage
NC019501	phage
NC019502	phage
NC019503	phage
NC019504	phage
NC019505	phage
NC019506	phage
NC019507	phage
NC019508	phage
NC019509	phage
NC019510	phage
NC019511	phage
NC019512	phage
NC019513	phage
NC019514	phage
NC019515	phage
NC019516	phage
NC019517	phage
NC019518	phage
NC019519	phage
NC019520	phage
NC019521	phage
NC019522	phage
NC019523	phage
NC019524	phage
NC019525	phage
NC019526	phage
NC019527	phage
NC019528	phage
NC019529	phage
NC019530	phage
NC019538	phage
NC019539	phage
NC019540	phage
NC019541	phage
NC019542	phage
NC019543	phage
NC019544	phage
NC019545	phage
NC019548	phage
NC019549	phage
NC019550	phage
NC019704	phage
NC019705	phage
NC019706	phage
NC019707	phage
NC019708	phage
NC019709	phage
NC019710	phage
NC019711	phage
NC019713	phage
NC019714	phage
NC019715	phage
NC019716	phage
NC019717	phage
NC019718	phage
NC019719	phage
NC019720	phage
NC019721	phage
NC019722	phage
NC019723	phage
NC019724	phage
NC019725	phage
NC019726	phage
NC019767	phage
NC019768	phage
NC019769	phage
NC019782	phage
NC019813	phage
NC019909	phage
NC019910	phage
NC019911	phage
NC019912	phage
NC019913	phage
NC019914	phage
NC019915	phage
NC019916	phage
NC019917	phage
NC019918	phage
NC019919	phage
NC019920	phage
NC019921	phage
NC019922	phage
NC019923	phage
NC019924	phage
NC019925	phage
NC019926	phage
NC019927	phage
NC019928	phage
NC019929	phage
NC019930	phage
NC019931	phage
NC019932	phage
NC019933	phage
NC019934	phage
NC019935	phage
NC020078	phage
NC020079	phage
NC020080	phage
NC020081	phage
NC020082	phage
NC020083	phage
NC020197	phage
NC020198	phage
NC020199	phage
NC020200	phage
NC020201	phage
NC020202	phage
NC020203	phage
NC020204	phage
NC020205	phage
NC020414	phage
NC020416	phage
NC020477	phage
NC020478	phage
NC020479	phage
NC020480	phage
NC020481	phage
NC020482	phage
NC020483	phage
NC020484	phage
NC020486	phage
NC020488	phage
NC020489	phage
NC020490	phage
NC020835	phage
NC020837	phage
NC020838	phage
NC020839	phage
NC020841	phage
NC020842	phage
NC020843	phage
NC020844	phage
NC020845	phage
NC020846	phage
NC020847	phage
NC020848	phage
NC020849	phage
NC020850	phage
NC020851	phage
NC020853	phage
NC020854	phage
NC020855	phage
NC020856	phage
NC020857	phage
NC020858	phage
NC020859	phage
NC020860	phage
NC020862	phage
NC020863	phage
NC020865	phage
NC020866	phage
NC020867	phage
NC020868	phage
NC020870	phage
NC020871	phage
NC020872	phage
NC020873	phage
NC020874	phage
NC020875	phage
NC020876	phage
NC020877	phage
NC020878	phage
NC020879	phage
NC020880	phage
NC020883	phage
NC021061	phage
NC021062	phage
NC021063	phage
NC021067	phage
NC021068	phage
NC021070	phage
NC021071	phage
NC021072	phage
NC021073	phage
NC021190	phage
NC021297	phage
NC021298	phage
NC021299	phage
NC021300	phage
NC021301	phage
NC021302	phage
NC021304	phage
NC021305	phage
NC021306	phage
NC021307	phage
NC021308	phage
NC021309	phage
NC021310	phage
NC021311	phage
NC021316	phage
NC021317	phage
NC021318	phage
NC021323	phage
NC021324	phage
NC021325	phage
NC021326	phage
NC021331	phage
NC021332	phage
NC021334	phage
NC021336	phage
NC021337	phage
NC021338	phage
NC021339	phage
NC021342	phage
NC021343	phage
NC021344	phage
NC021346	phage
NC021347	phage
NC021348	phage
NC021349	phage
NC021529	phage
NC021530	phage
NC021531	phage
NC021532	phage
NC021533	phage
NC021534	phage
NC021535	phage
NC021536	phage
NC021538	phage
NC021539	phage
NC021540	phage
NC021556	phage
NC021557	phage
NC021558	phage
NC021559	phage
NC021560	phage
NC021561	phage
NC021562	phage
NC021563	phage
NC021569	phage
NC021772	phage
NC021773	phage
NC021774	phage
NC021775	phage
NC021776	phage
NC021777	phage
NC021779	phage
NC021780	phage
NC021781	phage
NC021782	phage
NC021783	phage
NC021784	phage
NC021785	phage
NC021787	phage
NC021788	phage
NC021789	phage
NC021790	phage
NC021791	phage
NC021792	phage
NC021793	phage
NC021794	phage
NC021795	phage
NC021796	phage
NC021797	phage
NC021798	phage
NC021799	phage
NC021800	phage
NC021801	phage
NC021802	phage
NC021803	phage
NC021804	phage
NC021805	phage
NC021806	phage
NC021852	phage
NC021853	phage
NC021854	phage
NC021855	phage
NC021856	phage
NC021857	phage
NC021860	phage
NC021861	phage
NC021862	phage
NC021863	phage
NC021864	phage
NC021865	phage
NC021866	phage
NC021867	phage
NC021868	phage
NC022052	phage
NC022053	phage
NC022054	phage
NC022055	phage
NC022056	phage
NC022057	phage
NC022058	phage
NC022059	phage
NC022060	phage
NC022061	phage
NC022062	phage
NC022063	phage
NC022064	phage
NC022065	phage
NC022066	phage
NC022067	phage
NC022068	phage
NC022069	phage
NC022070	phage
NC022071	phage
NC022085	phage
NC022086	phage
NC022087	phage
NC022088	phage
NC022090	phage
NC022091	phage
NC022094	phage
NC022096	phage
NC022323	phage
NC022324	phage
NC022325	phage
NC022328	phage
NC022329	phage
NC022330	phage
NC022331	phage
NC022334	phage
NC022335	phage
NC022336	phage
NC022337	phage
NC022338	phage
NC022339	phage
NC022340	phage
NC022341	phage
NC022342	phage
NC022343	phage
NC022744	phage
NC022746	phage
NC022747	phage
NC022749	phage
NC022750	phage
NC022751	phage
NC022752	phage
NC022753	phage
NC022754	phage
NC022756	phage
NC022757	phage
NC022758	phage
NC022761	phage
NC022762	phage
NC022763	phage
NC022764	phage
NC022765	phage
NC022766	phage
NC022767	phage
NC022768	phage
NC022769	phage
NC022770	phage
NC022771	phage
NC022772	phage
NC022773	phage
NC022774	phage
NC022775	phage
NC022776	phage
NC022790	phage
NC022791	phage
NC022914	phage
NC022915	phage
NC022916	phage
NC022917	phage
NC022918	phage
NC022920	phage
NC022965	phage
NC022966	phage
NC022967	phage
NC022968	phage
NC022969	phage
NC022970	phage
NC022971	phage
NC022972	phage
NC022973	phage
NC022974	phage
NC022975	phage
NC022976	phage
NC022977	phage
NC022979	phage
NC022980	phage
NC022981	phage
NC022982	phage
NC022983	phage
NC022984	phage
NC022985	phage
NC022986	phage
NC022987	phage
NC022988	phage
NC022989	phage
NC023005	phage
NC023006	phage
NC023007	phage
NC023009	phage
NC023498	phage
NC023499	phage
NC023500	phage
NC023501	phage
NC023502	phage
NC023503	phage
NC023548	phage
NC023549	phage
NC023550	phage
NC023551	phage
NC023552	phage
NC023553	phage
NC023554	phage
NC023555	phage
NC023556	phage
NC023557	phage
NC023558	phage
NC023559	phage
NC023560	phage
NC023561	phage
NC023562	phage
NC023563	phage
NC023564	phage
NC023565	phage
NC023566	phage
NC023567	phage
NC023568	phage
NC023569	phage
NC023570	phage
NC023571	phage
NC023572	phage
NC023573	phage
NC023574	phage
NC023575	phage
NC023576	phage
NC023577	phage
NC023578	phage
NC023579	phage
NC023580	phage
NC023581	phage
NC023582	phage
NC023583	phage
NC023584	phage
NC023586	phage
NC023587	phage
NC023588	phage
NC023589	phage
NC023590	phage
NC023591	phage
NC023593	phage
NC023594	phage
NC023595	phage
NC023597	phage
NC023599	phage
NC023600	phage
NC023601	phage
NC023602	phage
NC023603	phage
NC023604	phage
NC023605	phage
NC023606	phage
NC023607	phage
NC023608	phage
NC023609	phage
NC023610	phage
NC023612	phage
NC023614	phage
NC023686	phage
NC023687	phage
NC023688	phage
NC023689	phage
NC023690	phage
NC023691	phage
NC023692	phage
NC023693	phage
NC023694	phage
NC023695	phage
NC023696	phage
NC023697	phage
NC023698	phage
NC023699	phage
NC023700	phage
NC023701	phage
NC023702	phage
NC023703	phage
NC023704	phage
NC023705	phage
NC023706	phage
NC023707	phage
NC023708	phage
NC023709	phage
NC023710	phage
NC023711	phage
NC023712	phage
NC023713	phage
NC023714	phage
NC023715	phage
NC023716	phage
NC023717	phage
NC023718	phage
NC023719	phage
NC023720	phage
NC023721	phage
NC023722	phage
NC023723	phage
NC023724	phage
NC023725	phage
NC023726	phage
NC023727	phage
NC023728	phage
NC023729	phage
NC023730	phage
NC023731	phage
NC023732	phage
NC023733	phage
NC023734	phage
NC023735	phage
NC023736	phage
NC023737	phage
NC023738	phage
NC023739	phage
NC023740	phage
NC023741	phage
NC023742	phage
NC023743	phage
NC023744	phage
NC023746	phage
NC023747	phage
NC023748	phage
NC023856	phage
NC023859	phage
NC023862	phage
NC023863	phage
NC023865	phage
NC024121	phage
NC024122	phage
NC024123	phage
NC024124	phage
NC024125	phage
NC024134	phage
NC024135	phage
NC024136	phage
NC024137	phage
NC024138	phage
NC024139	phage
NC024140	phage
NC024141	phage
NC024142	phage
NC024143	phage
NC024144	phage
NC024145	phage
NC024146	phage
NC024147	phage
NC024148	phage
NC024149	phage
NC024203	phage
NC024204	phage
NC024205	phage
NC024206	phage
NC024207	phage
NC024208	phage
NC024209	phage
NC024210	phage
NC024211	phage
NC024212	phage
NC024213	phage
NC024214	phage
NC024215	phage
NC024216	phage
NC024217	phage
NC024329	phage
NC024330	phage
NC024354	phage
NC024355	phage
NC024356	phage
NC024357	phage
NC024358	phage
NC024359	phage
NC024360	phage
NC024361	phage
NC024362	phage
NC024363	phage
NC024364	phage
NC024365	phage
NC024366	phage
NC024367	phage
NC024368	phage
NC024369	phage
NC024370	phage
NC024371	phage
NC024375	phage
NC024378	phage
NC024379	phage
NC024380	phage
NC024381	phage
NC024383	phage
NC024384	phage
NC024385	phage
NC024386	phage
NC024387	phage
NC024388	phage
NC024389	phage
NC024390	phage
NC024391	phage
NC024392	phage
NC024711	phage
NC024782	phage
NC024783	phage
NC024784	phage
NC024785	phage
NC024786	phage
NC024787	phage
NC024788	phage
NC024789	phage
NC024790	phage
NC024791	phage
NC024792	phage
NC024793	phage
NC024794	phage
NC025115	phage
NC025414	phage
NC025415	phage
NC025416	phage
NC025417	phage
NC025418	phage
NC025419	phage
NC025420	phage
NC025421	phage
NC025422	phage
NC025423	phage
NC025424	phage
NC025425	phage
NC025426	phage
NC025427	phage
NC025428	phage
NC025429	phage
NC025430	phage
NC025431	phage
NC025433	phage
NC025434	phage
NC025436	phage
NC025437	phage
NC025438	phage
NC025439	phage
NC025440	phage
NC025441	phage
NC025442	phage
NC025443	phage
NC025444	phage
NC025445	phage
NC025446	phage
NC025447	phage
NC025448	phage
NC025449	phage
NC025450	phage
NC025451	phage
NC025452	phage
NC025453	phage
NC025454	phage
NC025455	phage
NC025456	phage
NC025457	phage
NC025458	phage
NC025459	phage
NC025460	phage
NC025461	phage
NC025462	phage
NC025463	phage
NC025464	phage
NC025465	phage
NC025466	phage
NC025467	phage
NC025470	phage
NC025471	phage
NC025822	phage
NC025824	phage
NC025829	phage
NC025830	phage
NC026010	phage
NC026013	phage
NC026014	phage
NC026016	phage
NC026017	phage
NC026582	phage
NC026583	phage
NC026584	phage
NC026585	phage
NC026586	phage
NC026587	phage
NC026588	phage
NC026589	phage
NC026590	phage
NC026591	phage
NC026593	phage
NC026594	phage
NC026595	phage
NC026596	phage
NC026597	phage
NC026598	phage
NC026599	phage
NC026601	phage
NC026602	phage
NC026603	phage
NC026604	phage
NC026605	phage
NC026606	phage
NC026607	phage
NC026608	phage
NC026609	phage
NC026610	phage
NC026611	phage
NC026612	phage
NC026613	phage
NC026665	phage
NC026923	phage
NC026924	phage
NC026926	phage
NC026927	phage
NC026928	phage
NC027118	phage
NC027119	phage
NC027120	phage
NC027125	phage
NC027130	phage
NC027132	phage
NC027204	phage
NC027292	phage
NC027293	phage
NC027294	phage
NC027295	phage
NC027296	phage
NC027297	phage
NC027298	phage
NC027299	phage
NC027329	phage
NC027330	phage
NC027331	phage
NC027332	phage
NC027333	phage
NC027334	phage
NC027335	phage
NC027336	phage
NC027337	phage
NC027339	phage
NC027340	phage
NC027341	phage
NC027342	phage
NC027344	phage
NC027345	phage
NC027346	phage
NC027347	phage
NC027348	phage
NC027349	phage
NC027350	phage
NC027351	phage
NC027352	phage
NC027353	phage
NC027354	phage
NC027355	phage
NC027356	phage
NC027357	phage
NC027358	phage
NC027359	phage
NC027360	phage
NC027361	phage
NC027362	phage
NC027363	phage
NC027364	phage
NC027365	phage
NC027366	phage
NC027367	phage
NC027369	phage
NC027370	phage
NC027371	phage
NC027372	phage
NC027373	phage
NC027374	phage
NC027375	phage
NC027376	phage
NC027377	phage
NC027378	phage
NC027379	phage
NC027380	phage
NC027381	phage
NC027382	phage
NC027383	phage
NC027384	phage
NC027385	phage
NC027386	phage
NC027387	phage
NC027388	phage
NC027389	phage
NC027390	phage
NC027391	phage
NC027392	phage
NC027393	phage
NC027394	phage
NC027395	phage
NC027396	phage
NC027397	phage
NC027398	phage
NC027399	phage
NC027400	phage
NC027401	phage
NC027402	phage
NC027403	phage
NC027404	phage
NC027405	phage
NC027620	phage
NC027621	phage
NC027622	phage
NC027623	phage
NC027624	phage
NC027625	phage
NC027626	phage
NC027627	phage
NC027628	phage
NC027629	phage
NC027630	phage
NC027633	phage
NC027634	phage
NC027635	phage
NC027636	phage
NC027637	phage
NC027638	phage
NC027639	phage
NC027640	phage
NC027641	phage
NC027642	phage
NC027643	phage
NC027644	phage
NC027645	phage
NC027646	phage
NC027647	phage
NC027648	phage
NC027979	phage
NC027981	phage
NC027982	phage
NC027983	phage
NC027984	phage
NC027985	phage
NC027986	phage
NC027987	phage
NC027988	phage
NC027990	phage
NC027991	phage
NC027992	phage
NC027993	phage
NC027994	phage
NC027995	phage
NC027996	phage
NC027997	phage
NC028247	phage
NC028248	phage
NC028448	phage
NC028449	phage
NC028651	phage
NC028652	phage
NC028653	phage
NC028654	phage
NC028655	phage
NC028656	phage
NC028657	phage
NC028658	phage
NC028659	phage
NC028660	phage
NC028661	phage
NC028662	phage
NC028663	phage
NC028664	phage
NC028665	phage
NC028666	phage
NC028667	phage
NC028668	phage
NC028669	phage
NC028670	phage
NC028671	phage
NC028672	phage
NC028673	phage
NC028674	phage
NC028675	phage
NC028676	phage
NC028677	phage
NC028678	phage
NC028679	phage
NC028680	phage
NC028681	phage
NC028682	phage
NC028683	phage
NC028684	phage
NC028685	phage
NC028686	phage
NC028687	phage
NC028688	phage
NC028689	phage
NC028690	phage
NC028691	phage
NC028692	phage
NC028693	phage
NC028694	phage
NC028695	phage
NC028696	phage
NC028697	phage
NC028698	phage
NC028699	phage
NC028700	phage
NC028701	phage
NC028702	phage
NC028742	phage
NC028743	phage
NC028744	phage
NC028745	phage
NC028746	phage
NC028747	phage
NC028748	phage
NC028749	phage
NC028750	phage
NC028751	phage
NC028754	phage
NC028755	phage
NC028757	phage
NC028758	phage
NC028759	phage
NC028760	phage
NC028762	phage
NC028763	phage
NC028764	phage
NC028765	phage
NC028766	phage
NC028767	phage
NC028768	phage
NC028770	phage
NC028772	phage
NC028773	phage
NC028774	phage
NC028775	phage
NC028776	phage
NC028777	phage
NC028778	phage
NC028779	phage
NC028780	phage
NC028782	phage
NC028783	phage
NC028784	phage
NC028785	phage
NC028786	phage
NC028788	phage
NC028789	phage
NC028791	phage
NC028792	phage
NC028794	phage
NC028795	phage
NC028796	phage
NC028798	phage
NC028799	phage
NC028800	phage
NC028801	phage
NC028802	phage
NC028803	phage
NC028804	phage
NC028805	phage
NC028807	phage
NC028808	phage
NC028809	phage
NC028810	phage
NC028812	phage
NC028813	phage
NC028815	phage
NC028816	phage
NC028817	phage
NC028818	phage
NC028819	phage
NC028820	phage
NC028821	phage
NC028822	phage
NC028823	phage
NC028825	phage
NC028826	phage
NC028827	phage
NC028828	phage
NC028829	phage
NC028830	phage
NC028831	phage
NC028832	phage
NC028834	phage
NC028835	phage
NC028836	phage
NC028837	phage
NC028838	phage
NC028840	phage
NC028841	phage
NC028842	phage
NC028843	phage
NC028844	phage
NC028846	phage
NC028847	phage
NC028848	phage
NC028849	phage
NC028850	phage
NC028851	phage
NC028852	phage
NC028853	phage
NC028854	phage
NC028855	phage
NC028856	phage
NC028857	phage
NC028859	phage
NC028860	phage
NC028861	phage
