MGE,ARG,ARO Accession,Genome,Predicted_gene_name,Predicted_host,Associated_drug_class,MajorClass
P-P,AAC(6')-Ib,ARO:3002546,NZ_CP045677.1,AFJ11384.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib,ARO:3002546,NZ_CP050364.1,AFJ11384.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib,ARO:3002546,NZ_CP079728.1,AFJ11384.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib-cr1,ARO:3002547,NZ_CP037929.1,WP_071846215.1,Stenotrophomonas maltophilia ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib-cr1,ARO:3002547,NZ_MN922301.1,WP_071846215.1,Stenotrophomonas maltophilia ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib-cr6,ARO:3005116,CP052281.1,ACD56150.1,Escherichia coli ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib-cr6,ARO:3005116,CP052352.1,ACD56150.1,Escherichia coli ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib-cr6,ARO:3005116,CP052393.1,ACD56150.1,Escherichia coli ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib-cr6,ARO:3005116,CP052423.1,ACD56150.1,Escherichia coli ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib-cr6,ARO:3005116,MF554642.1,ACD56150.1,Escherichia coli ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib-cr6,ARO:3005116,NZ_CP034755.1,ACD56150.1,Escherichia coli ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib-cr6,ARO:3005116,NZ_MG196293.1,ACD56150.1,Escherichia coli ,aminoglycoside antibiotic;fluoroquinolone antibiotic,aminoglycoside/fluoroquinolone
P-P,AAC(6')-Ib4,ARO:3002577,NZ_MN629346.1,AAL38577.1,Acinetobacter baumannii ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib4,ARO:3002577,NZ_MN961666.1,AAL38577.1,Acinetobacter baumannii ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib7,ARO:3002578,NZ_CP029493.1,AKN19287.1,Salmonella enterica subsp. enterica serovar Corvallis ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib7,ARO:3002578,NZ_CP063488.1,AKN19287.1,Salmonella enterica subsp. enterica serovar Corvallis ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib7,ARO:3002578,NZ_MH763829.1,AKN19287.1,Salmonella enterica subsp. enterica serovar Corvallis ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib8,ARO:3002579,NZ_AP018351.1,AIK02012.1,Enterobacter cloacae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib9,ARO:3002580,CP017387.1,AAD02244.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-Ib9,ARO:3002580,NZ_CP017778.1,AAD02244.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC6_Ie_APH2_Ia,ARO:3002597,GCA_002610805.1,AAA88548.1,Staphylococcus aureus ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC6_Ie_APH2_Ia,ARO:3002597,NZ_CP020859.1,AAA88548.1,Staphylococcus aureus ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC6_Ie_APH2_Ia,ARO:3002597,NZ_CP062072.1,AAA88548.1,Staphylococcus aureus ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,CP042617.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,CP057733.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,CP057740.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,CP057753.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP010154.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP019262.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP029181.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP029493.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP033632.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP034789.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP055600.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP059289.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP062833.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP062896.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP063488.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP063951.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_CP077204.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_MG825383.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA ,ARO:3002601,NZ_MN510447.1,AAO49597.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA16,ARO:3002616,NZ_MG196293.1,ACF17980.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,CP042617.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,CP042894.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,CP057733.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,CP057740.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,CP057753.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NC_021654.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP007729.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP010154.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP016381.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP019054.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP021842.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP021846.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP027613.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP029244.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP029493.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP029493.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP029688.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP030285.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP032239.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP037929.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP040928.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP040928.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP055258.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP059289.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP063488.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP074117.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_CP076548.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_MN510447.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA2,ARO:3002602,NZ_MN922301.1,AAF27727.1,Klebsiella pneumoniae ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA23,ARO:3002620,CP042617.1,CAH10847.1,Salmonella enterica subsp. enterica serovar Agona ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA3,ARO:3002603,NZ_LT985263.1,AAC14728.1,Plasmid NR79,aminoglycoside antibiotic,aminoglycoside
P-P,aadA5,ARO:3002605,CP034786.1,AAF17880.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA5,ARO:3002605,NZ_AP023428.1,AAF17880.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA5,ARO:3002605,NZ_CP010146.1,AAF17880.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA5,ARO:3002605,NZ_CP021203.1,AAF17880.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA5,ARO:3002605,NZ_CP033251.1,AAF17880.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA5,ARO:3002605,NZ_CP048823.1,AAF17880.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA5,ARO:3002605,NZ_KP453775.1,AAF17880.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,aadA5,ARO:3002605,NZ_MN086777.1,AAF17880.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AcrF ,ARO:3000502,NZ_MK433207.1,AAC76298.1,Escherichia coli str. K-12 substr. MG1655,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,multidrug
P-P,ADC-176,ARO:3006348,NZ_CP041590.1,WP_001159761.1,Acinetobacter baumannii ,cephalosporin,beta-lactam
P-P,ANT(2'')-Ia,ARO:3000230,NZ_CP016381.1,AAC64365.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(2'')-Ia,ARO:3000230,NZ_CP018956.1,AAC64365.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(2'')-Ia,ARO:3000230,NZ_CP021835.1,AAC64365.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(2'')-Ia,ARO:3000230,NZ_CP025141.1,AAC64365.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(2'')-Ia,ARO:3000230,NZ_CP025144.1,AAC64365.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(2'')-Ia,ARO:3000230,NZ_CP025147.1,AAC64365.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(2'')-Ia,ARO:3000230,NZ_CP032183.1,AAC64365.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(2'')-Ia,ARO:3000230,NZ_MK439959.1,AAC64365.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_CP053046.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_CP062816.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_CP062827.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_CP062839.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_CP062884.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_CP069704.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_CP070907.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_LR130553.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_MH763829.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(3'')-IIa,ARO:3004089,NZ_MK439959.1,CAA26199.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(6)-Ia,ARO:3002626,GCA_002610805.1,AHE40557.1,Exiguobacterium sp. S3-2,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(6)-Ia,ARO:3002626,NZ_CP020859.1,AHE40557.1,Exiguobacterium sp. S3-2,aminoglycoside antibiotic,aminoglycoside
P-P,ANT(6)-Ia,ARO:3002626,NZ_CP062072.1,AHE40557.1,Exiguobacterium sp. S3-2,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,CP034786.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,CP042894.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,CP052281.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,CP052311.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,CP052352.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,CP052393.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP010243.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP019054.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP019262.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP029493.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP029688.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP032890.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP033379.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP033632.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP034590.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP034789.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP040928.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP040928.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP043218.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP047005.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP048027.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP050045.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP055258.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP056516.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP056516.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP063488.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP063502.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP071075.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP072806.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_CP077204.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_LR130553.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_LT985263.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_MG196293.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_MG825383.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_MG825383.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_MK439959.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3'')-Ib,ARO:3002639,NZ_MN086777.1,ABK33456.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP007729.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP019054.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP027122.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP027122.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP029493.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP032239.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP034755.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP034755.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP037929.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP040928.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP055258.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP058165.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_CP080128.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_LR130553.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_LT985263.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-Ia,ARO:3002641,NZ_MG196293.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
